symbol,strategy,entry_time,exit_time,entry,stop_loss,target,exit_price,outcome,r_multiple,pnl_pct,candles_held
SNDK,VWAP_BROAD_TEST,2026-09-02 09:35:00-04:00,2026-09-02 09:50:00-04:00,1553.67,1523.0,1599.68,1523.0,STOP,-1.0,-1.97,3
SNDK,VWAP_RETEST,2026-09-02 11:55:00-04:00,2026-09-02 12:05:00-04:00,1541.0,1536.98,1547.03,1547.03,TARGET,1.5,0.39,2
SNDK,VWAP_BROAD_TEST,2026-09-03 09:45:00-04:00,2026-09-03 09:50:00-04:00,1527.59,1515.21,1546.16,1546.16,TARGET,1.5,1.22,1
SNDK,VWAP_RETEST,2026-09-03 15:30:00-04:00,2026-09-03 15:55:00-04:00,1543.21,1534.57,1556.17,1556.17,TARGET,1.5,0.84,5
SNDK,VWAP_BROAD_TEST,2026-09-04 09:35:00-04:00,2026-09-04 12:30:00-04:00,1633.22,1581.0,1711.55,1711.55,TARGET,1.5,4.8,35
SNDK,EMA_CROSS,2026-09-04 15:35:00-04:00,2026-09-04 16:00:00-04:00,1721.96,1709.94,1740.0,1709.94,STOP,-1.0,-0.7,5
SNDK,VWAP_BROAD_TEST,2026-09-08 09:35:00-04:00,2026-09-08 09:40:00-04:00,1772.82,1757.77,1795.39,1757.77,STOP,-1.0,-0.85,1
SNDK,VWAP_RETEST,2026-09-08 10:45:00-04:00,2026-09-08 11:00:00-04:00,1784.44,1770.0,1806.1,1770.0,STOP,-1.0,-0.81,3
SNDK,VWAP_BROAD_TEST,2026-09-09 09:50:00-04:00,2026-09-09 09:55:00-04:00,1752.53,1734.97,1778.86,1778.86,TARGET,1.5,1.5,1
SNDK,VWAP_RETEST,2026-09-09 10:30:00-04:00,2026-09-09 11:10:00-04:00,1785.0,1772.01,1804.48,1772.01,STOP,-1.0,-0.73,8
SNDK,VWAP_BROAD_TEST,2026-09-10 09:40:00-04:00,2026-09-10 09:50:00-04:00,1706.97,1689.48,1733.2,1689.48,STOP,-1.0,-1.02,2
SNDK,VWAP_RETEST,2026-09-10 13:30:00-04:00,2026-09-10 13:55:00-04:00,1701.61,1697.2,1708.22,1708.22,TARGET,1.5,0.39,5
SNDK,VWAP_BROAD_TEST,2026-09-14 09:50:00-04:00,2026-09-14 16:50:00-04:00,1546.7,1518.33,1589.25,1589.25,TARGET,1.5,2.75,84
SNDK,VWAP_RETEST,2026-09-14 16:10:00-04:00,2026-09-14 16:20:00-04:00,1547.77,1544.0,1553.42,1553.42,TARGET,1.5,0.37,2
SNDK,VWAP_BROAD_TEST,2026-09-15 09:35:00-04:00,2026-09-15 09:35:00-04:00,1572.54,1555.55,1598.03,1555.55,STOP,-1.0,-1.08,0
SNDK,VWAP_RETEST,2026-09-15 10:30:00-04:00,2026-09-15 10:35:00-04:00,1563.54,1554.61,1576.92,1554.61,STOP,-1.0,-0.57,1
SNDK,VWAP_BROAD_TEST,2026-09-16 09:55:00-04:00,2026-09-16 10:00:00-04:00,1535.32,1525.91,1549.44,1525.91,STOP,-1.0,-0.61,1
SNDK,VWAP_RETEST,2026-09-16 11:00:00-04:00,2026-09-16 11:00:00-04:00,1538.02,1534.6,1543.14,1543.14,TARGET,1.5,0.33,0
